img	label	text	gen	
6861	img/61207.png	1	a pitcher lady whit each other with a meal in her right hand	hand and glasses and chair and bottle and woman and face and teeth and hair and chair and glasses and glasses
6862	img/61208.png	0	some and two people standing next to each other holding up a huge butterfly and tie smiling in a coach reach	man and teeth and hair and man and tie and shirt and collar and tie and man and nose and ear
6863	img/61250.png	0	there is a water bottle with a one has a fish that book in the sword	water and water and wave and man and leg and wall and water and body and arm and wave and leg
6864	img/61278.png	0	a smiling queen woman holding up to get their focused in a fenced off area with their skies on the fence	shorts and shorts and shorts and shorts and shirt and hair and shirt and shorts and ball and ball and shirt
6865	img/61285.png	0	a man lying down showing with rings in a field	eye and eye and eye and eyes and eye and eye and nostril and nose and face and eye and eye
6866	img/61298.png	1	a pitcher young woman wearing black hair in front with trees looking gym persons while wearing grapes	man and tie and ear and tie and ear and nose and tie and head and man and ear and shirt
6867	img/61378.png	1	a person is skateboarding behind a bus	hair and woman and woman and wall and wall and room and jeans and reflection and hair and tank top and woman
6868	img/61379.png	0	a man standing next to an old looking gym in a room with other tractors	hair and tie and shirt and man and shirt and tie and tie and collar and hair and tie and nose
6869	img/61380.png	0	a large hand is pointing to look at a horse	ear and nose and mouth and ear and ear and mouth and ear and shirt and eyes and nose and head
6870	img/61395.png	0	a mostly of electric bat on display with the time for a picture	wall and wall and ground and stick and handle and wall and wall and wall and wall and ground and stick
6871	img/61408.png	0	he looks at a man	arm and mouth and shirt and nose and man and ear and hair and man and face and shirt and mouth
6872	img/61438.png	1	a showing christmas posing in front of a rotted	ring and ring and girl and reflection and plate and girl and light and finger and head and face and water
6873	img/61459.png	0	a young girl sits at a table with a bowl of donuts on a wooden table	hair and hand and chair and chair and chair and bowl and hand and bowl and hair and hair and table
6874	img/61492.png	0	some people cooking on the table	glasses and glasses and window and glasses and donut,doughnut and shirt and pot and shirt and face and shirt and shirt
6875	img/61502.png	1	a base ball game sits on top of an panel	fence and sign and sign and sign and cones and fence and sky and wing and sign and sign and sign
6876	img/61527.png	0	a woman in pink is holding a figure painting caps her	leg and head and leg and wall and foot and arm and arm and sky and girl and girl and sky
6877	img/61532.png	0	the man is wearing a jacket	ear and tie and man and tie and nose and collar and shirt and tie and head and face and eye
6878	img/61537.png	0	a close up of a side by the time stereo	hair and flag and flag and man and flag and nose and flag and flag and flag and shirt and flag
6879	img/61570.png	1	a man with red tie label	nose and hair and shirt and ear and hand and eye and eyes and eye and hair and hand and eye
6880	img/61580.png	1	a large window frame	hat and hat and shorts and man and surfboard,surf board and hat and man and tusk and watch and shadow and man
6881	img/61589.png	0	a male to locking in his hands	hair and tie and hand and man and hair and tie and cuff and ear and shirt and man and tie
6882	img/61590.png	0	kid sitting in her head played in a dog	nose and ear and face and nose and eye and eye and elephant and ribbon and eyes and face and eyes
6883	img/61702.png	0	a man that has a man wearing a grey shirt and white person standing at the camera	beard and teeth and ear and teeth and man and shirt and hair and face and beard and glasses and nose
6884	img/61723.png	1	a person is holding a snowboard played dead	nail and thumb and nail and hand and fingers and hand and fingers and fingers and hand and finger and finger
6885	img/61730.png	0	picture of a graduation in flight half pipe on a beautiful blue inside	box and hair and hair and box and eyes and hair and box and box and wall and shadow and blade
6886	img/61732.png	0	a man wearing a tie while holding a initials behind his racquet	hair and hair and nose and plant and hair and hair and shirt and earring and eyes and shirt and earring
6887	img/61749.png	1	a little kid ties in a kitchen	cooler and hair and box and box and shelf and bin and box and shelf and towel and box and clothes
6888	img/61754.png	0	a sign is shown remotes in the grass	beak and beak and bird and beak and bird and head and neck and bird and wing and feet and eye
6889	img/61780.png	1	a group of pool officers mug his man standing next to each other at an adult	logo and man and hair and hand and tie and sleeve and hair and laptop and laptop and shirt and hand
6890	img/61793.png	1	a person glaze a pair of breakfast is wearing a glass	vase and hand and nose and hand and hand and eyebrow and vase and eyes and face and wall and hair
6891	img/61798.png	0	a man holds the camera	belt and pants and tattoo and man and shirt and man and hair and shirt and pants and hand and belt
6892	img/61820.png	0	a man hovers his tie	hair and man and hand and ear and hair and watch and hand and hair and ring and eye and eyes
6893	img/61823.png	1	a man laying next to each other at a crowd	sign and sign and sign and jacket and patch and sign and hat and man and man and man and building
6894	img/61825.png	0	a man holding a wile ties on the floor	nose and dog and ear and ear and paw and book and paw and book and books and book and book
6895	img/61859.png	1	a woman is looking in a red dress taking a picture of them while a look new and surrounded by surfboards	pillow and hair and pillow and man and hair and man and button and pillow and hair and face and man
6896	img/61870.png	1	a man and female on a couch with her brown chair	hair and pillow and hair and wall and pillow and pillow and hair and couch and woman and wall and couch
